Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Type Num,Strain [minNm]
M,300.6,309.5,1550,40.2,96,0,0,0,0,0,0,1,3859.2000000000003
L,300.6,309.4,1410,40.6,99,0,0,0,0,0,0,0,4019.4
L,300.5,309.3,1574,33.5,101,0,0,0,0,0,0,0,3383.5
L,300.6,309.4,1425,40.3,103,0,0,0,0,0,0,0,4150.9
M,300.6,309.4,1541,35.2,105,0,0,0,0,0,0,1,3696.0000000000005
M,300.7,309.5,1733,26.7,108,0,0,0,0,0,0,1,2883.6
L,300.6,309.4,2496,13.5,111,0,0,0,0,0,0,0,1498.5
L,300.6,309.4,1552,36.4,113,0,0,0,0,0,0,0,4113.2
L,300.6,309.3,1409,38.7,115,0,0,0,0,0,0,0,4450.5
M,300.6,309.4,1581,35.7,117,0,0,0,0,0,0,1,4176.900000000001
L,300.7,309.5,1251,59.9,120,0,0,0,0,0,0,0,7188.0
L,300.7,309.6,1500,44.1,122,0,0,0,0,0,0,0,5380.2
L,300.6,309.5,1576,38.8,124,0,0,0,0,0,0,0,4811.2
M,300.7,309.5,1352,44.0,126,0,0,0,0,0,0,1,5544.0
L,300.7,309.6,1661,30.3,129,0,0,0,0,0,0,0,3908.7000000000003
L,300.7,309.6,1541,34.6,131,0,0,0,0,0,0,0,4532.6
H,300.6,309.6,1888,20.5,133,0,0,0,0,0,0,2,2726.5
L,300.5,309.5,1255,62.1,138,0,0,0,0,0,0,0,8569.800000000001
L,300.6,309.6,1411,41.6,140,0,0,0,0,0,0,0,5824.0
L,300.6,309.5,1516,39.0,142,0,0,0,0,0,0,0,5538.0
M,300.6,309.5,1492,34.0,144,0,0,0,0,0,0,1,4896.0
L,300.6,309.6,1726,30.0,147,0,0,0,0,0,0,0,4410.0
L,300.7,309.7,1598,33.7,149,0,0,0,0,0,0,0,5021.3
L,300.8,309.8,1657,31.1,151,0,0,0,0,0,0,0,4696.1
L,300.8,309.7,1481,38.1,153,0,0,0,0,0,0,0,5829.3
M,300.7,309.7,1397,51.3,155,0,0,0,0,0,0,1,7951.5
L,300.8,309.7,1461,44.3,158,0,0,0,0,0,0,0,6999.4
M,300.7,309.6,1388,51.1,160,0,0,0,0,0,0,1,8176.0
L,300.7,309.7,1507,52.4,163,0,0,0,0,0,0,0,8541.199999999999
M,300.7,309.6,1421,49.8,165,0,0,0,0,0,0,1,8217.0
M,300.8,309.7,1258,54.9,168,0,0,0,0,0,0,1,9223.199999999999
M,300.8,309.7,1482,39.0,171,0,0,0,0,0,0,1,6669.0
H,300.7,309.6,1403,51.3,174,0,0,0,0,0,0,2,8926.199999999999
L,300.8,309.7,1373,45.4,179,0,0,0,0,0,0,0,8126.599999999999
L,300.9,309.7,1460,42.1,181,0,0,0,0,0,0,0,7620.1
M,300.8,309.7,1751,27.9,183,0,0,0,0,0,0,1,5105.7
M,300.8,309.6,1546,42.3,186,0,0,0,0,0,0,1,7867.799999999999
M,300.8,309.7,1680,28.2,189,0,0,0,0,0,0,1,5329.8
M,300.9,309.7,1394,48.8,192,0,0,0,0,0,0,1,9369.599999999999
L,300.7,309.6,1810,26.0,195,0,0,0,0,0,0,0,5070.0
L,300.7,309.5,1479,34.5,197,0,0,0,0,0,0,0,6796.5
L,300.9,309.7,1431,41.4,199,0,0,0,0,0,0,0,8238.6
L,300.9,309.7,2355,14.4,201,0,0,0,0,0,0,0,2894.4
M,300.7,309.6,1996,19.8,203,1,1,0,0,0,0,1,4019.4
L,300.7,309.5,1461,49.9,0,0,0,0,0,0,0,0,0.0
H,300.7,309.5,2007,19.7,2,0,0,0,0,0,0,2,39.4
L,300.7,309.6,1505,34.9,7,0,0,0,0,0,0,0,244.29999999999998
H,300.7,309.6,1925,20.5,9,0,0,0,0,0,0,2,184.5
M,300.7,309.5,1622,30.5,14,0,0,0,0,0,0,1,427.0
L,300.7,309.5,1592,29.0,17,0,0,0,0,0,0,0,493.0
L,300.7,309.5,1850,24.5,19,0,0,0,0,0,0,0,465.5
M,300.7,309.5,1470,48.7,21,0,0,0,0,0,0,1,1022.7
M,300.7,309.5,1445,46.4,24,0,0,0,0,0,0,1,1113.6
L,300.7,309.5,1685,31.1,27,0,0,0,0,0,0,0,839.7
H,300.7,309.5,1667,30.5,29,0,0,0,0,0,0,2,884.5
L,300.7,309.5,1578,35.4,34,0,0,0,0,0,0,0,1203.6
H,300.6,309.4,1691,28.0,36,0,0,0,0,0,0,2,1008.0
M,300.7,309.5,1439,43.8,41,0,0,0,0,0,0,1,1795.8
M,300.8,309.6,1404,38.7,44,0,0,0,0,0,0,1,1702.8000000000002
L,300.8,309.6,1498,45.8,47,0,0,0,0,0,0,0,2152.6
M,300.8,309.5,1481,44.5,49,0,0,0,0,0,0,1,2180.5
M,300.7,309.4,1589,35.0,52,0,0,0,0,0,0,1,1820.0
L,300.7,309.5,1467,44.3,55,0,0,0,0,0,0,0,2436.5
L,300.6,309.4,1654,32.8,57,0,0,0,0,0,0,0,1869.6
L,300.7,309.5,1508,39.9,59,0,0,0,0,0,0,0,2354.1
M,300.7,309.6,1439,43.0,61,0,0,0,0,0,0,1,2623.0
L,300.7,309.5,1692,30.3,64,0,0,0,0,0,0,0,1939.2
M,300.7,309.5,1838,24.9,66,0,0,0,0,0,0,1,1643.3999999999999
L,300.6,309.3,1601,40.2,69,0,0,0,0,0,0,0,2773.8
L,300.6,309.4,1369,51.6,71,0,0,0,0,0,0,0,3663.6
M,300.6,309.4,1312,45.2,73,0,0,0,0,0,0,1,3299.6000000000004
L,300.6,309.4,1468,44.1,76,0,0,0,0,0,0,0,3351.6
M,300.6,309.4,1452,39.4,78,0,0,0,0,0,0,1,3073.2
M,300.7,309.5,1393,43.9,81,0,0,0,0,0,0,1,3555.9
M,300.6,309.4,1432,44.2,84,0,0,0,0,0,0,1,3712.8
M,300.6,309.3,1510,46.0,87,0,0,0,0,0,0,1,4002.0
M,300.6,309.4,1521,37.2,90,0,0,0,0,0,0,1,3348.0000000000005
H,300.5,309.4,1360,46.2,93,0,0,0,0,0,0,2,4296.6
M,300.5,309.3,1881,25.5,98,0,0,0,0,0,0,1,2499.0
L,300.4,309.3,1413,50.3,101,0,0,0,0,0,0,0,5080.299999999999
H,300.5,309.4,1642,36.2,103,0,0,0,0,0,0,2,3728.6000000000004
L,300.5,309.5,1542,38.5,108,0,0,0,0,0,0,0,4158.0
L,300.4,309.5,1447,39.3,110,0,0,0,0,0,0,0,4323.0
H,300.4,309.4,1530,40.4,112,0,0,0,0,0,0,2,4524.8
L,300.5,309.5,1795,27.7,117,0,0,0,0,0,0,0,3240.9
L,300.6,309.6,1290,57.4,119,0,0,0,0,0,0,0,6830.599999999999
L,300.6,309.7,1639,30.4,121,0,0,0,0,0,0,0,3678.3999999999996
L,300.7,309.8,1596,31.5,123,0,0,0,0,0,0,0,3874.5
L,300.6,309.8,1455,48.0,125,0,0,0,0,0,0,0,6000.0
M,300.6,309.8,1659,28.9,127,0,0,0,0,0,0,1,3670.2999999999997
M,300.6,309.8,1532,42.5,130,0,0,0,0,0,0,1,5525.0
L,300.6,309.8,1502,42.4,133,0,0,0,0,0,0,0,5639.2
L,300.6,309.8,1688,28.6,135,0,0,0,0,0,0,0,3861.0
M,300.5,309.7,1341,50.9,137,0,0,0,0,0,0,1,6973.3
M,300.5,309.7,1685,29.4,140,0,0,0,0,0,0,1,4116.0
M,300.5,309.8,1370,55.9,143,0,0,0,0,0,0,1,7993.7
L,300.5,309.8,1461,52.5,146,0,0,0,0,0,0,0,7665.0
L,300.5,309.8,1550,37.4,148,0,0,0,0,0,0,0,5535.2
M,300.5,309.8,1508,37.8,150,0,0,0,0,0,0,1,5670.0
L,300.5,309.8,1345,62.7,153,0,0,0,0,0,0,0,9593.1
L,300.5,309.7,1616,34.5,155,0,0,0,0,0,0,0,5347.5
L,300.5,309.7,1395,61.0,157,0,0,0,0,0,0,0,9577.0
H,300.5,309.8,1324,72.8,159,1,0,0,1,0,0,2,11575.199999999999
L,300.5,309.8,1445,43.9,164,0,0,0,0,0,0,0,7199.599999999999
M,300.5,309.8,1555,38.9,166,0,0,0,0,0,0,1,6457.4
M,300.6,309.9,1449,42.4,169,0,0,0,0,0,0,1,7165.599999999999
M,300.5,309.9,1466,53.2,172,0,0,0,0,0,0,1,9150.4
L,300.5,309.9,1503,37.4,175,0,0,0,0,0,0,0,6545.0
L,300.4,309.7,1488,35.7,177,0,0,0,0,0,0,0,6318.900000000001
L,300.4,309.7,1314,50.2,179,0,0,0,0,0,0,0,8985.800000000001
M,300.4,309.7,1547,38.0,181,0,0,0,0,0,0,1,6878.0
M,300.4,309.7,1466,39.8,184,0,0,0,0,0,0,1,7323.2
L,300.3,309.6,1537,37.1,187,0,0,0,0,0,0,0,6937.7
M,300.2,309.5,1434,51.5,189,0,0,0,0,0,0,1,9733.5
L,300.4,309.6,1432,44.7,192,0,0,0,0,0,0,0,8582.400000000001
L,300.5,309.6,1390,48.4,194,0,0,0,0,0,0,0,9389.6
L,300.5,309.7,1580,42.8,196,0,0,0,0,0,0,0,8388.8
L,300.5,309.7,1589,30.5,198,0,0,0,0,0,0,0,6039.0
L,300.5,309.8,1441,48.8,200,0,0,0,0,0,0,0,9760.0
L,300.5,309.8,1305,51.7,202,0,0,0,0,0,0,0,10443.400000000001
M,300.5,309.8,1566,35.9,204,0,0,0,0,0,0,1,7323.599999999999
L,300.5,309.8,1379,54.2,207,1,0,0,0,1,0,0,11219.400000000001
L,300.4,309.6,1543,38.1,209,0,0,0,0,0,0,0,7962.900000000001
L,300.5,309.8,1421,49.6,211,0,0,0,0,0,0,0,10465.6
L,300.5,309.6,1760,30.6,213,0,0,0,0,0,0,0,6517.8
L,300.4,309.5,1711,29.2,215,0,0,0,0,0,0,0,6278.0
L,300.5,309.6,1465,41.6,217,0,0,0,0,0,0,0,9027.2
L,300.5,309.6,1366,50.2,219,0,0,0,0,0,0,0,10993.800000000001
M,300.4,309.5,1888,21.9,221,0,0,0,0,0,0,1,4839.9
L,300.5,309.5,1777,23.6,0,0,0,0,0,0,0,0,0.0
L,300.5,309.5,1379,55.6,2,0,0,0,0,0,0,0,111.2
L,300.4,309.5,1525,51.3,4,0,0,0,0,0,0,0,205.2
M,300.4,309.6,1563,34.0,6,0,0,0,0,0,0,1,204.0
M,300.5,309.7,1389,43.3,9,0,0,0,0,0,0,1,389.7
M,300.6,309.8,1447,42.9,12,0,0,0,0,0,0,1,514.8
M,300.6,309.7,1934,22.8,15,0,0,0,0,0,0,1,342.0
H,300.6,309.7,1470,43.8,18,0,0,0,0,0,0,2,788.4
M,300.6,309.7,1428,42.6,23,0,0,0,0,0,0,1,979.8000000000001
L,300.4,309.6,1319,48.1,26,0,0,0,0,0,0,0,1250.6000000000001
L,300.5,309.7,1887,24.3,28,0,0,0,0,0,0,0,680.4
L,300.4,309.5,1349,50.4,30,0,0,0,0,0,0,0,1512.0
M,300.3,309.5,1665,31.4,32,0,0,0,0,0,0,1,1004.8
L,300.3,309.5,1474,38.7,35,0,0,0,0,0,0,0,1354.5
L,300.4,309.5,1543,38.9,37,0,0,0,0,0,0,0,1439.3
M,300.2,309.4,1459,43.9,39,0,0,0,0,0,0,1,1712.1
L,300.3,309.5,1551,37.9,42,0,0,0,0,0,0,0,1591.8
L,300.2,309.4,1981,21.4,44,0,0,0,0,0,0,0,941.5999999999999
L,300.2,309.4,1526,35.3,46,0,0,0,0,0,0,0,1623.8
M,300.2,309.4,1501,40.0,48,0,0,0,0,0,0,1,1920.0
L,300.2,309.4,1558,38.3,51,0,0,0,0,0,0,0,1953.3
L,300.2,309.3,1532,43.2,53,0,0,0,0,0,0,0,2289.6000000000004
L,300.1,309.2,1326,55.9,55,0,0,0,0,0,0,0,3074.5
L,300.2,309.2,1431,51.3,57,0,0,0,0,0,0,0,2924.1
L,300.2,309.3,1366,49.3,59,0,0,0,0,0,0,0,2908.7
L,300.1,309.2,1421,42.5,61,0,0,0,0,0,0,0,2592.5
H,300.2,309.3,1506,35.6,63,0,0,0,0,0,0,2,2242.8
H,300.2,309.3,1342,48.7,68,0,0,0,0,0,0,2,3311.6000000000004
L,300.1,309.2,1427,37.6,73,0,0,0,0,0,0,0,2744.8
L,300.2,309.2,1667,29.9,75,0,0,0,0,0,0,0,2242.5
L,300.1,309.1,1400,46.7,77,0,0,0,0,0,0,0,3595.9
L,300.0,309.0,1709,32.1,79,0,0,0,0,0,0,0,2535.9
M,300.0,309.0,1368,45.8,81,0,0,0,0,0,0,1,3709.7999999999997
L,300.0,309.1,1882,23.8,84,0,0,0,0,0,0,0,1999.2
L,300.1,309.1,1353,58.7,86,0,0,0,0,0,0,0,5048.2
L,299.9,309.0,1553,40.0,88,0,0,0,0,0,0,0,3520.0
L,300.0,309.1,1431,45.4,90,0,0,0,0,0,0,0,4086.0
M,300.1,309.1,1731,30.4,92,0,0,0,0,0,0,1,2796.7999999999997
M,300.1,309.2,1687,27.7,95,1,0,0,0,0,1,1,2631.5
M,300.1,309.2,1457,44.3,98,0,0,0,0,0,0,1,4341.4
L,300.1,309.2,1533,37.0,101,0,0,0,0,0,0,0,3737.0
H,300.0,309.0,1622,31.8,103,0,0,0,0,0,0,2,3275.4
L,300.0,309.1,1791,28.2,108,0,0,0,0,0,0,0,3045.6
L,300.0,309.1,1631,28.3,110,0,0,0,0,0,0,0,3113.0
L,300.0,309.0,2174,16.9,112,0,0,0,0,0,0,0,1892.7999999999997
L,300.1,309.0,1314,58.2,114,0,0,0,0,0,0,0,6634.8
L,300.1,309.1,1478,46.9,116,0,0,0,0,0,0,0,5440.4
L,300.1,309.2,1783,27.3,118,0,0,0,0,0,0,0,3221.4
M,300.1,309.2,1385,46.1,120,0,0,0,0,0,0,1,5532.0
L,300.0,309.2,1444,43.6,123,0,0,0,0,0,0,0,5362.8
L,300.1,309.3,1841,23.0,125,0,0,0,0,0,0,0,2875.0
M,300.1,309.4,1349,56.2,127,0,0,0,0,0,0,1,7137.400000000001
L,300.1,309.3,1340,56.0,130,0,0,0,0,0,0,0,7280.0
M,299.9,309.2,1539,43.2,132,0,0,0,0,0,0,1,5702.400000000001
M,300.0,309.3,1932,21.8,135,0,0,0,0,0,0,1,2943.0
M,300.0,309.3,1407,43.9,138,0,0,0,0,0,0,1,6058.2
L,300.1,309.3,1712,28.5,141,0,0,0,0,0,0,0,4018.5
H,300.1,309.4,1329,55.2,143,0,0,0,0,0,0,2,7893.6
L,300.1,309.2,1441,42.9,148,0,0,0,0,0,0,0,6349.2
L,300.0,309.2,1610,32.1,150,0,0,0,0,0,0,0,4815.0
M,300.0,309.1,1474,45.2,152,0,0,0,0,0,0,1,6870.400000000001
M,300.0,309.1,1624,30.8,155,0,0,0,0,0,0,1,4774.0
H,300.1,309.3,1520,38.2,158,0,0,0,0,0,0,2,6035.6
H,300.1,309.3,1448,45.8,163,0,0,0,0,0,0,2,7465.4
L,300.0,309.3,1558,29.7,168,0,0,0,0,0,0,0,4989.599999999999
M,300.0,309.3,2293,16.3,170,0,0,0,0,0,0,1,2771.0
L,300.0,309.3,1397,51.2,173,0,0,0,0,0,0,0,8857.6
L,300.0,309.3,1972,22.0,175,0,0,0,0,0,0,0,3850.0
M,299.9,309.2,1574,36.5,177,0,0,0,0,0,0,1,6460.5
L,299.9,309.2,1560,38.9,180,0,0,0,0,0,0,0,7002.0
M,299.9,309.2,1353,49.8,182,0,0,0,0,0,0,1,9063.6
M,299.9,309.2,1389,51.2,185,0,0,0,0,0,0,1,9472.0
M,299.9,309.1,1513,43.8,188,0,0,0,0,0,0,1,8234.4
L,299.8,309.1,1578,42.1,191,0,0,0,0,0,0,0,8041.1
H,299.8,309.0,1467,37.3,193,0,0,0,0,0,0,2,7198.9
L,299.9,309.1,1412,48.3,198,0,0,0,0,0,0,0,9563.4
L,299.8,309.1,1668,30.3,200,0,0,0,0,0,0,0,6060.0
M,299.8,309.2,1678,29.8,202,0,0,0,0,0,0,1,6019.6
L,299.8,309.1,1612,35.4,205,0,0,0,0,0,0,0,7257.0
L,299.8,309.1,1485,39.9,207,0,0,0,0,0,0,0,8259.3
M,299.8,309.1,1456,39.4,209,0,0,0,0,0,0,1,8234.6
L,299.8,309.2,1504,38.7,212,0,0,0,0,0,0,0,8204.400000000001
L,299.9,309.2,1491,44.3,214,0,0,0,0,0,0,0,9480.199999999999
H,299.9,309.2,1525,33.2,0,0,0,0,0,0,0,2,0.0
L,300.0,309.2,1759,27.9,5,0,0,0,0,0,0,0,139.5
M,299.8,309.1,1355,56.7,7,0,0,0,0,0,0,1,396.90000000000003
M,299.9,309.1,1345,56.8,10,0,0,0,0,0,0,1,568.0
M,299.9,309.2,1683,30.5,13,0,0,0,0,0,0,1,396.5
L,299.9,309.2,1658,34.8,16,0,0,0,0,0,0,0,556.8
L,300.0,309.2,1566,34.4,18,0,0,0,0,0,0,0,619.1999999999999
M,300.1,309.3,1469,43.9,20,0,0,0,0,0,0,1,878.0
M,300.2,309.5,1458,46.9,23,0,0,0,0,0,0,1,1078.7
L,300.1,309.4,1858,23.6,26,0,0,0,0,0,0,0,613.6
H,300.1,309.4,1563,40.8,28,0,0,0,0,0,0,2,1142.3999999999999
L,300.1,309.4,2141,17.9,33,0,0,0,0,0,0,0,590.6999999999999
L,300.0,309.3,1473,46.0,35,0,0,0,0,0,0,0,1610.0
H,300.0,309.4,1498,38.5,37,0,0,0,0,0,0,2,1424.5
L,300.1,309.4,1568,39.7,42,0,0,0,0,0,0,0,1667.4
L,300.1,309.4,1694,27.4,44,0,0,0,0,0,0,0,1205.6
L,300.0,309.4,1499,35.7,46,0,0,0,0,0,0,0,1642.2
L,300.0,309.5,1717,28.3,48,0,0,0,0,0,0,0,1358.4
M,300.1,309.5,1462,42.8,50,0,0,0,0,0,0,1,2140.0
L,300.1,309.6,1642,34.5,53,0,0,0,0,0,0,0,1828.5
L,300.1,309.6,1760,25.4,55,0,0,0,0,0,0,0,1397.0
L,300.1,309.5,1660,32.7,57,0,0,0,0,0,0,0,1863.9
L,300.1,309.5,1557,40.6,59,0,0,0,0,0,0,0,2395.4
H,300.2,309.6,1442,49.2,61,0,0,0,0,0,0,2,3001.2000000000003
L,300.2,309.6,1359,51.5,66,0,0,0,0,0,0,0,3399.0
L,300.4,309.8,1342,52.5,68,0,0,0,0,0,0,0,3570.0
L,300.4,309.9,1435,54.8,70,0,0,0,0,0,0,0,3836.0
L,300.4,309.9,1567,36.5,72,0,0,0,0,0,0,0,2628.0
L,300.4,309.9,1376,43.5,74,0,0,0,0,0,0,0,3219.0
H,300.4,309.9,1513,38.7,76,0,0,0,0,0,0,2,2941.2000000000003
H,300.4,309.9,2563,12.8,81,1,0,0,1,0,0,2,1036.8
L,300.5,310.0,1521,45.1,86,0,0,0,0,0,0,0,3878.6
L,300.6,310.0,1658,34.7,88,0,0,0,0,0,0,0,3053.6000000000004
H,300.6,310.0,1419,42.4,90,0,0,0,0,0,0,2,3816.0
M,300.6,310.0,1478,36.3,95,0,0,0,0,0,0,1,3448.4999999999995
M,300.5,310.0,1415,43.5,98,0,0,0,0,0,0,1,4263.0
M,300.5,309.9,1780,26.5,101,0,0,0,0,0,0,1,2676.5
M,300.4,309.7,1440,42.8,104,0,0,0,0,0,0,1,4451.2
H,300.4,309.8,1448,39.7,107,0,0,0,0,0,0,2,4247.900000000001
H,300.4,309.7,1500,35.2,112,0,0,0,0,0,0,2,3942.4000000000005
L,300.4,309.8,1513,32.9,117,0,0,0,0,0,0,0,3849.2999999999997
L,300.5,309.8,1428,43.8,119,0,0,0,0,0,0,0,5212.2
M,300.5,309.8,1473,42.3,121,0,0,0,0,0,0,1,5118.299999999999
M,300.5,309.9,1483,49.3,124,0,0,0,0,0,0,1,6113.2
L,300.4,309.7,1534,42.5,127,0,0,0,0,0,0,0,5397.5
L,300.5,309.8,1367,54.0,129,0,0,0,0,0,0,0,6966.0
L,300.4,309.7,1467,36.9,131,0,0,0,0,0,0,0,4833.9
M,300.4,309.7,1488,42.2,133,0,0,0,0,0,0,1,5612.6
L,300.4,309.7,1679,30.1,136,0,0,0,0,0,0,0,4093.6000000000004
H,300.4,309.8,1409,47.5,138,0,0,0,0,0,0,2,6555.0
M,300.4,309.7,1367,51.2,143,0,0,0,0,0,0,1,7321.6
L,300.4,309.8,1314,63.1,146,0,0,0,0,0,0,0,9212.6
L,300.5,309.9,1480,40.0,148,0,0,0,0,0,0,0,5920.0
L,300.4,309.8,1549,38.9,150,0,0,0,0,0,0,0,5835.0
L,300.4,309.7,1685,31.3,152,0,0,0,0,0,0,0,4757.6
L,300.4,309.6,1536,34.5,154,0,0,0,0,0,0,0,5313.0
M,300.4,309.7,1539,37.7,156,0,0,0,0,0,0,1,5881.200000000001
L,300.4,309.7,1384,45.1,159,0,0,0,0,0,0,0,7170.900000000001
M,300.4,309.6,1614,30.3,161,0,0,0,0,0,0,1,4878.3
M,300.4,309.6,1675,35.5,164,0,0,0,0,0,0,1,5822.0
M,300.4,309.7,1685,32.3,167,0,0,0,0,0,0,1,5394.099999999999
L,300.4,309.6,1386,56.9,170,0,0,0,0,0,0,0,9673.0
M,300.3,309.6,1488,41.3,172,0,0,0,0,0,0,1,7103.599999999999
L,300.3,309.6,1624,32.6,175,0,0,0,0,0,0,0,5705.0
L,300.3,309.6,1600,34.6,177,0,0,0,0,0,0,0,6124.2
L,300.3,309.6,1468,44.7,179,0,0,0,0,0,0,0,8001.3
L,300.3,309.6,1435,45.4,181,0,0,0,0,0,0,0,8217.4
M,300.2,309.5,1564,33.4,183,0,0,0,0,0,0,1,6112.2
M,300.2,309.4,1329,53.6,186,0,0,0,0,0,0,1,9969.6
L,300.1,309.3,1570,36.8,189,0,0,0,0,0,0,0,6955.2
M,300.2,309.4,1433,48.8,191,0,0,0,0,0,0,1,9320.8
L,300.2,309.4,1527,37.0,194,0,0,0,0,0,0,0,7178.0
M,300.1,309.3,1443,50.3,196,0,0,0,0,0,0,1,9858.8
L,300.1,309.3,1616,32.0,199,0,0,0,0,0,0,0,6368.0
L,300.1,309.3,1654,31.0,201,0,0,0,0,0,0,0,6231.0
L,300.1,309.3,1685,27.1,203,0,0,0,0,0,0,0,5501.3
M,300.2,309.4,1456,48.8,205,0,0,0,0,0,0,1,10004.0
M,300.2,309.4,1752,27.8,208,0,0,0,0,0,0,1,5782.400000000001
M,300.1,309.2,1438,51.0,211,0,0,0,0,0,0,1,10761.0
L,300.1,309.1,1551,33.7,214,0,0,0,0,0,0,0,7211.8
L,300.1,309.2,1599,30.1,216,0,0,0,0,0,0,0,6501.6
M,300.1,309.2,1732,33.7,218,0,0,0,0,0,0,1,7346.6
M,300.1,309.2,1418,39.8,221,0,0,0,0,0,0,1,8795.8
L,300.0,309.1,1401,44.5,0,0,0,0,0,0,0,0,0.0
L,300.0,309.0,1454,51.7,2,0,0,0,0,0,0,0,103.4
M,300.0,309.2,1635,32.4,4,0,0,0,0,0,0,1,129.6
L,300.0,309.1,1489,40.3,7,0,0,0,0,0,0,0,282.09999999999997
L,300.0,309.1,1465,40.6,9,0,0,0,0,0,0,0,365.40000000000003
M,300.0,309.1,1463,45.7,11,0,0,0,0,0,0,1,502.70000000000005
H,300.1,309.1,1560,35.4,14,0,0,0,0,0,0,2,495.59999999999997
M,300.1,309.2,1454,44.4,19,0,0,0,0,0,0,1,843.6
L,300.2,309.1,1479,47.0,22,0,0,0,0,0,0,0,1034.0
L,300.2,309.2,1430,43.4,24,0,0,0,0,0,0,0,1041.6
M,300.1,309.1,1533,38.0,26,0,0,0,0,0,0,1,988.0
L,300.1,309.0,1404,54.8,29,0,0,0,0,0,0,0,1589.1999999999998
M,300.1,308.9,1548,38.4,31,0,0,0,0,0,0,1,1190.3999999999999
M,300.1,309.0,1612,33.0,34,0,0,0,0,0,0,1,1122.0
M,300.2,309.0,1642,31.2,37,0,0,0,0,0,0,1,1154.3999999999999
M,300.2,309.1,1406,42.2,40,0,0,0,0,0,0,1,1688.0
L,300.3,309.2,1587,31.4,43,0,0,0,0,0,0,0,1350.2
M,300.3,309.2,1364,47.6,45,0,0,0,0,0,0,1,2142.0
L,300.3,309.2,1462,51.4,48,0,0,0,0,0,0,0,2467.2
L,300.3,309.2,1649,32.4,50,0,0,0,0,0,0,0,1620.0
L,300.4,309.2,1752,29.0,52,0,0,0,0,0,0,0,1508.0
H,300.4,309.3,1396,51.2,54,0,0,0,0,0,0,2,2764.8
M,300.5,309.4,2179,16.3,59,0,0,0,0,0,0,1,961.7
L,300.5,309.5,1653,27.6,62,0,0,0,0,0,0,0,1711.2
L,300.6,309.5,2025,21.4,64,0,0,0,0,0,0,0,1369.6
L,300.6,309.6,1426,53.6,66,0,0,0,0,0,0,0,3537.6
M,300.6,309.6,1503,38.4,68,0,0,0,0,0,0,1,2611.2
M,300.7,309.6,1525,36.5,71,0,0,0,0,0,0,1,2591.5
L,300.6,309.6,1423,49.1,74,0,0,0,0,0,0,0,3633.4
M,300.7,309.7,1435,44.7,76,0,0,0,0,0,0,1,3397.2000000000003
H,300.6,309.5,1495,36.5,79,0,0,0,0,0,0,2,2883.5
M,300.6,309.5,1557,33.8,84,0,0,0,0,0,0,1,2839.2
L,300.6,309.4,1474,40.7,87,0,0,0,0,0,0,0,3540.9
L,300.5,309.3,1465,46.0,89,0,0,0,0,0,0,0,4094.0
M,300.5,309.3,1589,34.9,91,0,0,0,0,0,0,1,3175.9
L,300.5,309.3,1475,46.8,94,0,0,0,0,0,0,0,4399.2
L,300.6,309.4,1442,43.2,96,0,0,0,0,0,0,0,4147.200000000001
L,300.6,309.4,1556,36.0,98,0,0,0,0,0,0,0,3528.0
L,300.7,309.3,1425,45.3,100,0,0,0,0,0,0,0,4530.0
L,300.7,309.3,1580,38.3,102,0,0,0,0,0,0,0,3906.6
H,300.8,309.4,1474,40.7,104,0,0,0,0,0,0,2,4232.8
L,300.8,309.4,1489,38.4,109,0,0,0,0,0,0,0,4185.599999999999
L,300.8,309.4,1946,20.5,111,0,0,0,0,0,0,0,2275.5
M,300.8,309.4,1342,62.4,113,1,0,1,0,0,0,1,7051.2
M,300.9,309.5,1758,26.8,116,0,0,0,0,0,0,1,3108.8
M,300.9,309.4,1724,25.6,119,0,0,0,0,0,0,1,3046.4
L,301.0,309.5,1430,48.5,122,0,0,0,0,0,0,0,5917.0
L,300.9,309.5,1612,35.2,124,0,0,0,0,0,0,0,4364.8
H,300.9,309.5,1469,43.4,126,0,0,0,0,0,0,2,5468.4
L,300.9,309.6,1384,42.4,131,0,0,0,0,0,0,0,5554.4
L,301.0,309.6,1724,28.1,133,0,0,0,0,0,0,0,3737.3
M,301.0,309.6,1397,48.0,135,0,0,0,0,0,0,1,6480.0
M,301.0,309.6,1588,32.7,138,0,0,0,0,0,0,1,4512.6
L,301.0,309.7,1468,42.0,141,0,0,0,0,0,0,0,5922.0
M,301.0,309.8,1594,31.1,143,0,0,0,0,0,0,1,4447.3
M,301.0,309.7,1511,39.3,146,0,0,0,0,0,0,1,5737.799999999999
L,301.1,309.8,1493,38.9,149,0,0,0,0,0,0,0,5796.099999999999
H,301.2,309.8,1709,27.0,151,0,0,0,0,0,0,2,4077.0
L,301.1,309.6,1501,36.1,156,0,0,0,0,0,0,0,5631.6
L,301.1,309.7,1668,30.8,158,0,0,0,0,0,0,0,4866.400000000001
L,301.1,309.6,1502,48.9,160,0,0,0,0,0,0,0,7824.0
M,301.0,309.7,1288,58.4,162,0,0,0,0,0,0,1,9460.8
L,301.0,309.7,1491,42.9,165,0,0,0,0,0,0,0,7078.5
L,301.1,309.8,1519,39.6,167,0,0,0,0,0,0,0,6613.2
L,301.2,309.9,1984,19.7,169,0,0,0,0,0,0,0,3329.2999999999997
